Country,Code,ContinentCode,Year,Exports of goods and services as percent of GDP,Imports of goods and services as percent of GDP,Government spending as percent of GDP,Government debt as percent of GDP,Tax revenue percent of GDP,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) ,Quality of roads 1(low) - 7(high),Quality of railroad infrastructure 1(low) - 7(high),Quality of port infrastructure 1(low) - 7(high),Quality of air transport infrastructure 1(low) - 7(high),Human rights and rule of law index 0 (high) - 10 (low),External interventions index 0 (low) - 10 (high),GDP per capita constant 2010 dollars,Economic growth forecast,Income from natural resources percent of GDP,Revenue minus production cost of oil percent of GDP,Revenue minus production cost of natural gas percent of GDP,Innovations index (0-100),Property rights index (0-100),Freedom from corruption index (0-100),Business freedom index (0-100),Trade freedom index (0-100),Economic freedom overall index (0-100),Health spending as percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners,Globalization index (0-100),Economic globalization index (0-100),Military spending percent of GDP,Human Development Index (0 - 1),GDP per capita constant 2010 dollars,Fragile state index 0 (low) - 120 (high),Factionalized elites index 0 (low) - 10 (high),Economic decline index 0 (low) - 10 (high),Uneven economic development index 0 (low) - 10 (high),External interventions index 0 (low) - 10 (high),,,,,,,,,,,,Revenue minus production cost of oil percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners
Ethiopia,ETH,AF,2018,8.37,22.83,10.25,49.7,7.52,-0.43,-0.61,-0.49,-0.97,-1.15,-1.27,34,7,6,3.3,2.9,2.8,4,8.7,8.4,570.65,7.7,6.16,0,0,,31,38,40,61,53,3.3,,,,45.47,31.07,0.64,0.47,570.65,99.6,8.4,6.7,6.8,8.4,,,,,,,,,,,,0,,,
Euro area,XC,EU,2018,46,42.38,20.55,85.7,19.35,,,,,,,,,,,,,,,,40922.95,,0.12,0.02,0.04,,,,,,,10.14,27.1,,,,,1.34,,40922.95,,,,,,,,,,,,,,,,,0,27.1,11.6,22.4
Faroe Islands,FRO,EU,2018,51.54,50.33,28.84,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,32.7,,,42.36,,,,,,,,,,,,,,,,,,,,,0.01,32.7,13.6,26.6
Fiji,FJI,OC,2018,47.91,55.52,19.77,49.8,23.99,-0.13,0.26,0.38,-0.22,0.22,0.88,,3,3,,,,,6.6,6.9,4794.68,3.81,1.47,0,,,68,35,63,69,62,3.42,,,,57.24,52.11,1.65,0.724,4794.68,74.5,7.9,6.2,6,6.9,,,,,,,,,,,,9.97,,,
Finland,FIN,EU,2018,38.52,39.59,22.85,59.7,20.84,2.05,1.98,2.21,1.79,1.61,0.92,85,1,1,5.3,5.5,6.2,6.2,0.7,1,48880.18,1.31,0.67,0,0,59.6,89,90,90,87,74,9.04,35.9,11.6,,87.7,83.09,1.37,0.925,48880.18,17.9,1.4,3.2,0.7,1,,,,,,,,,,,,0,35.9,48.6,28.7
France,FRA,EU,2018,31.72,32.76,23.28,98,24.2,1.44,1.48,1.32,1.16,1.18,0.04,72,1,2,6,5.1,5,5.5,1.9,1.8,43720.03,1.87,0.04,0.01,0,54.4,84,65,80,82,64,11.26,36.5,,,87.69,79.21,1.85,0.891,43720.03,32.2,1.9,4,2.9,1.8,,,,,,,,,,,,0.11,36.5,21.6,27.8
Gabon,GAB,AF,2018,50.54,21.51,10.57,60.91,10.22,-0.71,-0.81,-0.86,-0.92,-0.95,-0.25,31,7,5,,,,,7.5,5.4,9051.28,0.84,23.42,20.35,0.31,,30,33,49,61,58,2.75,31.7,,,53.47,40.39,1.55,0.702,9051.28,72.5,7.9,5.8,6.2,5.4,,,,,,,,,,,,0.01,31.7,16.5,24.8
Gambia,GMB,AF,2018,21.73,41.38,6.82,84.61,,-0.43,-0.62,-0.46,-0.63,-0.2,-0.07,37,,,3.8,2.3,4.2,4.5,8.9,6.7,791.45,7.24,2.47,0,,,34,37,54,65,52,3.09,,,,53.44,50.88,0.71,0.466,791.45,87.1,7.7,8.7,6.6,6.7,,,,,,,,,,,,1.42,,,
Georgia,GEO,AS,2018,50.56,61.2,13.21,39.9,21.74,0.33,0.61,0.71,1.13,0.25,-0.43,58,3,3,3.8,3.9,3.8,4.4,5.3,7.3,4734.38,4.84,0.77,0.2,0.01,35,63,62,87,89,76,7.11,36,20.1,27.5,71.58,81.03,2.02,0.786,4734.38,74,9.1,5.8,5.2,7.3,,,,,,,,,,,,0,36,21.2,26.2
Germany,DEU,EU,2018,47.37,41.22,19.97,61.8,11.49,1.63,1.62,1.95,1.76,1.42,0.6,80,1,1,5.5,5.5,5.3,5.6,0.8,0.7,47313.85,1.27,0.08,0.02,0.02,58,81,75,86,87,74,11.43,,,,88.83,80.6,1.18,0.939,47313.85,25.8,2.6,1.9,2.7,0.7,,,,,,,,,,,,0,,,
Ghana,GHA,AF,2018,35.26,36.41,9.01,63.23,12.57,0.07,-0.21,-0.12,-0.09,0.58,-0.02,41,1,2,3.5,1.9,3,3.8,5,6.6,1808.33,6.26,14.08,4.62,0.29,24.5,49,33,60,65,56,3.54,,,,61.13,50.23,0.42,0.596,1808.33,68.1,4.9,6,6.3,6.6,,,,,,,,,,,,0.13,,,
Greece,GRC,EU,2018,36.13,36.39,19.14,186.2,26.19,0.15,0.34,-0.07,0.41,0.86,0.17,45,2,2,4.7,3,4.6,5.2,3.2,5.8,23546.64,1.56,0.16,0.03,0,38.9,52,38,74,82,57,7.72,,17.9,,82.89,73.8,2.64,0.872,23546.64,55.3,4.1,6.2,3.4,5.8,,,,,,,,,,,,0,,,
Grenada,GRD,NA,2018,53.21,58.56,,66.27,,0.23,-0.25,0.38,-0.29,0.52,0.99,52,1,2,,,,,3,7.4,9091.76,4.14,0,0,,,,,,,,4.46,,,,52.38,56.38,,0.763,9091.76,59.9,5.6,5.8,4.6,7.4,,,,,,,,,,,,0,,,
Guatemala,GTM,NA,2018,18.22,28.94,11.01,25.94,10.59,-1.04,-0.68,-0.82,-0.19,-0.34,-0.53,27,4,4,2.6,1.1,3.8,4.1,7.1,4.9,3338.55,3.22,1.68,0.2,0.01,25.5,40,27,57,87,63,5.71,,,,61.65,49.8,0.35,0.651,3338.55,81.8,7.1,5.4,7.8,4.9,,,,,,,,,,,,0,,,
Guinea,GIN,AF,2018,37.6,53.02,16.27,38.29,,-1.21,-0.97,-1.04,-0.78,-0.75,-0.87,28,5,5,2.2,2,3.2,3.8,7.4,7.1,897.12,6.18,14.49,0,,20.7,32,27,54,61,52,3.93,,43.7,,48.34,34.84,2.32,0.466,897.12,101.6,9.6,8.9,7.6,7.1,,,,,,,,,,,,0,,,
Guinea-Bissau,GNB,AF,2018,25.34,32.46,9.69,59.23,,-1.23,-1.49,-1.53,-1.2,-0.67,-0.68,16,5,5,,,,,7.5,8.3,622.69,3.36,9.24,0,,,31,27,48,65,57,7,49.6,,,39.33,36.19,,0.461,622.69,98.1,9.6,8,8.9,8.3,,,,,,,,,,,,0,49.6,52.2,37
Guyana,GUY,SA,2018,,,,43.1,,-0.37,-0.27,-0.23,-0.54,0.24,-0.18,37,2,3,,,,,3.4,7,5825.04,4.44,19.69,0,,,42,35,60,72,59,5.94,,,,53.8,55.4,1.6,0.67,5825.04,70.4,5.1,6.1,5.4,7,,,,,,,,,,,,0,,,
Haiti,HTI,NA,2018,11.08,35.3,8.49,25.55,,-1.05,-1.91,-1.28,-1.26,-0.74,-0.63,20,5,5,2,1.7,2.4,2.9,7.4,9.9,1282.24,1.67,0.68,0,0,,25,25,48,72,56,7.69,30.4,,,44.51,44.11,0,0.503,1282.24,102,9.6,8.4,9.5,9.9,,,,,,,,,,,,0.08,30.4,14.5,23.8
Honduras,HND,NA,2018,41.76,60.8,13.6,43.69,,-1.03,-0.62,-0.62,-0.44,-0.51,-0.52,29,4,4,4.1,1.3,4.4,4.3,6.8,7.2,2219.44,3.7,1.41,0,0,24.9,44,28,59,84,61,7.05,,48.3,39.1,60.49,54.91,1.62,0.623,2219.44,77.3,6.8,6.4,7.4,7.2,,,,,,,,,,,,0,,8.8,22.5
Hong Kong,HKG,AS,2018,188.36,188.57,9.93,0.05,,1.77,1.9,1.68,2.23,0.47,0.79,76,5,2,6.1,6.4,6.2,6.5,,,38698.99,2.85,0,0,0,54.6,93,83,96,90,90,,,,,67.08,84.67,,0.939,38698.99,,,,,,,,,,,,,,,,,0.35,,,
Hungary,HUN,EU,2018,83.89,79.49,19.65,69.1,22.56,0.55,0.49,0.05,0.58,0.32,0.75,46,3,2,3.9,3.8,3.3,4.1,5.2,3.9,16793.38,5.41,0.38,0.15,0.12,44.9,58,36,62,87,67,6.7,39.7,12.3,,83.83,81.98,1.15,0.845,16793.38,50.2,5.3,5.1,3.5,3.9,,,,,,,,,,,,0.8,39.7,11.2,32.4
Iceland,ISL,EU,2018,47.52,44.5,24.02,35.9,23.44,1.72,1.47,1.84,1.42,1.41,1.41,76,1,1,4.1,4.3,5.5,5.5,0.8,3.9,51592.66,4.72,0,0,0,51.2,87,77,90,89,77,8.47,39.5,,,71.91,69.4,0,0.938,51592.66,20.3,1.8,3.2,0.9,3.9,,,,,,,,,,,,12.84,39.5,,30.6
India,IND,AS,2018,19.85,23.55,11.09,68.1,11.97,0.03,0.28,-0.19,-0.23,0.38,-0.98,41,2,3,4.4,4.5,4.6,4.8,5.8,5.2,2086.45,6.53,2.27,0.45,0.05,35.2,55,47,56,72,55,3.54,,,,62.23,42.91,2.38,0.647,2086.45,76.3,7.3,5,6.7,5.2,,,,,,,,,,,,34.79,,,
Indonesia,IDN,AS,2018,20.97,22.03,9.01,29.8,10.23,-0.32,0.18,-0.25,-0.14,0.18,-0.54,38,2,4,3.9,4.7,4.2,5,7.3,4.9,4284.69,5.17,4.78,1.17,1.04,29.8,49,43,57,81,64,2.87,31.8,9.8,29.3,63.22,49.66,0.73,0.707,4284.69,72.3,7,4.8,5.5,4.9,,,,,,,,,,,,0,31.8,16.8,25.4
Iran,IRN,AS,2018,33.23,31.82,12.25,38.47,,-0.69,-0.43,-0.96,-1.38,-1.32,-1.34,28,6,6,3.9,3.8,3.9,3.3,9.2,6.2,6440.07,-6.03,16.11,,,33.4,33,33,64,55,51,8.66,,,,53.79,25.64,2.46,0.797,6440.07,84.3,9.6,6.4,5.6,6.2,,,,,,,,,,,,0,,,
Iraq,IRQ,AS,2018,43.98,35.95,21.59,,2.01,-1.76,-1.32,-1.4,-1.16,-0.99,-2.52,18,5,6,,,,,8.4,9.4,5475.47,0.83,45.7,45.39,0.3,,37,23,59,,,4.11,35.4,,,46.73,45,2.87,0.689,5475.47,102.2,9.6,6.3,7,9.4,,,,,,,,,,,,0.05,35.4,20.6,25.8
Ireland,IRL,EU,2018,122.33,89.18,11.9,63,18.24,1.46,1.42,1.55,1.63,1.32,1.03,73,1,1,4.5,3.9,5,5.4,1.7,1.1,76662.67,8.95,0.13,0,0.09,57.2,88,79,82,87,80,6.93,41.5,,,85.54,87.81,0.29,0.942,76662.67,20.7,1.5,3.1,1.9,1.1,,,,,,,,,,,,0.4,41.5,44.4,31.9
Israel,ISR,AS,2018,29.79,29.15,22.86,60.88,23.07,0.99,1.21,0.79,1.25,0.65,-0.9,61,1,3,5,4.1,4.6,5.4,7.2,7.8,34749.68,3.48,0.18,0,0.15,56.8,78,61,72,86,72,7.52,,,,76.88,70.86,5.34,0.906,34749.68,78.5,8.1,4.1,6.5,7.8,,,,,,,,,,,,0,,,
Italy,ITA,EU,2018,31.37,28.98,18.89,134.4,24.24,0.25,0.41,0.24,0.73,1.05,0.35,52,1,1,4.4,3.9,4.5,4.8,1.7,2.5,35485.11,0.94,0.1,0.07,0.02,46.3,71,40,70,87,63,8.67,,,,82.82,71.01,1.34,0.883,35485.11,43.8,4.9,5.1,2.6,2.5,,,,,,,,,,,,0,,,
Ivory Coast,CIV,AF,2018,22.64,23.43,10.24,40.1,11.77,-0.58,-0.57,-0.5,-0.2,-0.23,-0.89,35,4,4,3.3,2.6,3.9,4.5,7.6,8.7,1667.94,6.89,2.64,1.07,0.43,20,39,37,62,74,62,4.19,,39.5,,53.45,42.81,1.33,0.516,1667.94,94.6,9.1,6.8,7.7,8.7,,,,,,,,,,,,0,,,
Jamaica,JAM,NA,2018,37.96,51.07,13.47,94.39,26.81,-0.23,0.5,-0.18,0.2,0.61,0.44,44,2,3,3.9,2.7,4.5,5.2,5.8,5.5,4855.26,1.83,1.32,0,0,30.4,61,39,79,71,69,6.06,26.8,,,62.2,61.4,1.35,0.726,4855.26,63.1,3.7,6.7,4.8,5.5,,,,,,,,,,,,6.74,26.8,2.7,22.6
Japan,JPN,AS,2018,18.52,18.29,19.8,224.57,,1.53,1.68,1.42,1.34,1.02,1.06,73,1,1,6,6.6,5.6,6.1,3.1,3.5,48766.13,0.56,0.03,0,0.01,55,86,79,82,82,72,10.95,40.8,,,78.4,67.72,0.94,0.915,48766.13,34.5,2.6,3.8,1.3,3.5,,,,,,,,,,,,0,40.8,36.1,31.6
Jordan,JOR,AS,2018,35.15,53.38,15.31,94.4,14.88,0.23,0.11,0.15,0.03,-0.7,-0.41,49,5,5,3.9,2.4,4.2,5.2,7.7,7.1,3309.75,1.93,0.64,0,0.01,30.8,58,52,63,82,65,7.79,,15.7,,73.4,69.31,4.71,0.723,3309.75,76.8,6.9,6.7,5.1,7.1,,,,,,,,,,,,0,,,
Kazakhstan,KAZ,AS,2018,37.63,25.9,8.32,20.26,11.72,-0.43,0.02,-0.5,0.13,-1.17,-0.03,31,7,5,3.2,4.3,3.5,4.4,7,3.9,11165.54,4.1,22.4,15.56,1.66,31.4,56,45,74,76,69,2.92,,,,64.14,52.96,0.93,0.817,11165.54,63.4,7.6,5.9,3.9,3.9,,,,,,,,,,,,37.23,,,
Kenya,KEN,AF,2018,13.17,22.98,13.1,59.1,15.09,-0.41,-0.41,-0.85,-0.22,-0.36,-1.17,27,4,4,4.2,3.7,4.3,5,7.3,7.8,1201.47,6.32,1.31,0.01,0,31.1,48,28,56,70,55,5.17,29,,,55.79,41.15,1.26,0.579,1201.47,97.4,9.6,7,7.6,7.8,,,,,,,,,,,,0.12,29,32.1,24.8
Kiribati,KIR,OC,2018,9.63,88.76,73.88,,21.26,0.49,-0.28,0.34,-0.77,1.15,1.03,,1,1,,,,,,,1777.71,3.78,0.04,0,,,45,38,53,58,51,12.11,,,,45.77,68.58,,0.623,1777.71,,,,,,,,,,,,,,,,,0,,,
Kuwait,KWT,AS,2018,56.72,43.77,22.66,14.84,,0.21,-0.09,-0.29,0.03,-0.59,0.11,41,5,5,4.2,2.5,3.7,3.8,7.6,4.5,33112.19,1.25,43.09,42.46,0.64,34.4,52,37,57,79,62,5,34.2,,,71.86,73.01,5.13,0.808,33112.19,55.9,7.5,2.7,3.9,4.5,,,,,,,,,,,,0,34.2,21.8,26.2
Kyrgyzstan,KGZ,AS,2018,31.6,67.27,17.17,54.82,18,-0.91,-0.61,-0.95,-0.35,-0.37,-0.58,29,5,5,2.8,2.7,1.4,3,7.2,6.7,1090.87,3.46,11.55,0.14,0,27.6,50,29,73,75,63,6.53,,22.4,23.6,62.32,59.18,1.6,0.674,1090.87,78.6,8,6.7,5.6,6.7,,,,,,,,,,,,0,,,
Laos,LAO,AS,2018,,,,59.65,,-0.84,-0.67,-0.98,-0.78,-1.74,0.42,29,7,6,3.2,2.3,2.7,3.9,7.6,5.8,1785.58,6.29,6.73,0,,,34,33,65,57,54,2.25,,18.3,,45.37,49.57,,0.604,1785.58,80.7,8.3,5.5,6.2,5.8,,,,,,,,,,,,0,,,
Latvia,LVA,EU,2018,61.42,62.21,18.01,37.1,22.82,0.96,1.04,0.33,1.14,0.81,0.42,58,2,2,3.5,4.5,4.8,5.5,2.8,3.6,16263.23,4.02,0.85,0,0,43.2,68,45,80,87,74,6.19,,22.9,,79.77,81.54,2.08,0.854,16263.23,44.9,4.3,3.8,3.8,3.6,,,,,,,,,,,,0,,,
Lebanon,LBN,AS,2018,20.72,47.43,15.32,151,15.31,-0.76,-0.64,-1.11,-0.44,-0.5,-1.62,28,6,4,2.6,1.7,3.2,4,7.3,9.4,6214.36,-1.93,0,0,0,28.2,40,20,49,85,53,8.35,,,,67.68,68.63,4.85,0.73,6214.36,86.8,9.6,6.1,5.5,9.4,,,,,,,,,,,,25.99,,,
Lesotho,LSO,AF,2018,49.73,93.32,38.71,46.5,31.57,-0.34,-0.86,-0.1,-0.5,0.03,-0.17,41,3,3,2.4,1,,1.2,4.9,7.5,1374.65,-1.02,3.34,0,,,49,33,53,69,54,9.28,,,,48.99,55.99,1.76,0.518,1374.65,80.1,7.3,8.4,7.8,7.5,,,,,,,,,,,,,,,
Liberia,LBR,AF,2018,26.01,94.33,16.61,39.71,,-0.99,-1.34,-0.85,-0.96,-0.04,-0.25,32,3,3,2.8,1.3,2.7,3.3,6.2,9,541.27,1.24,21.56,0,,,28,32,53,73,51,6.74,37.4,,,47.73,43.25,0.42,0.465,541.27,92.6,8.6,8,8.1,9,,,,,,,,,,,,0.03,37.4,21.9,28.6
Libya,LBY,AF,2018,56.95,35.82,,,,-1.79,-1.85,-1.55,-2.28,-1.52,-2.43,17,7,6,,,,,9.4,10,8038.58,17.88,43.44,42.43,0.96,,5,23,64,80,,,33.8,,,55.28,55.05,,0.708,8038.58,94.6,9.4,8,5.3,10,,,,,,,,,,,,0,33.8,16.5,25.4
Liechtenstein,LIE,EU,2018,,,,0.5,,1.68,1.74,2.01,1.53,1.32,1.48,,2,1,,,,,,,,,0,,,,,,,90,,,,,,54.21,,,0.917,,,,,,,,,,,,,,,,,,0,,,
Lithuania,LTU,EU,2018,75.25,73.39,16.36,11.5,16.77,0.96,1.07,0.5,1.1,0.92,0.75,59,1,1,4.7,4.5,4.6,4.6,2.2,4.3,17742.26,3.94,0.34,0.03,0,,74,51,73,87,75,6.57,,20.6,,81.15,79.54,1.98,0.869,17742.26,39.4,3,4.2,4.2,4.3,,,,,,,,,,,,0.07,,,
Luxembourg,LUX,EU,2018,211.56,175.54,16.66,21,26.79,1.81,1.78,2.09,1.76,1.57,1.37,81,1,1,5.3,4.9,4.4,5.5,1,0.8,110701.88,3.11,0.01,0,0,54.5,83,79,69,87,76,5.29,,,,82.82,87.36,0.57,0.909,110701.88,20.8,3.4,1.3,1.3,0.8,,,,,,,,,,,,0,,,
Macao,MAC,AS,2018,82.79,33.21,9.46,,29.49,1.01,1.2,0.72,1.61,-0.05,1.26,,,,,,,,,,58641.63,6.47,0,0,,,60,36,60,90,71,,41,,,51.79,62.07,,,58641.63,,,,,,,,,,,,,,,,,1.88,41,7.6,31.3
Madagascar,MDG,AF,2018,28.68,33.82,14.33,39.77,10.22,-0.81,-1.15,-1,-0.73,-0.3,-0.57,25,3,4,,,,,5.8,6.5,490.1,3.19,6.09,0.14,,24.8,33,18,46,78,57,4.79,,,,48.85,48.84,0.6,0.521,490.1,83.6,7.8,7.6,9.1,6.5,,,,,,,,,,,,0,,,
Malawi,MWI,AF,2018,30.88,38.1,15.11,59.68,17.39,-0.38,-0.73,-0.74,-0.68,-0.06,-0.42,32,3,3,2.9,2.1,2.2,3.4,6.2,7.7,515.11,3.17,6.22,0,,23.1,33,29,48,72,52,9.33,,,,48.58,42.84,0.85,0.485,515.11,85.5,8.1,8.1,8,7.7,,,,,,,,,,,,0,,47.2,
Malaysia,MYS,AS,2018,68.57,61.86,11.95,51.2,12.03,0.62,1.08,0.31,0.7,-0.08,0.26,47,4,4,5.5,5.2,5.3,5.6,7.7,3.5,12131.49,4.77,7.54,2.93,2.99,43,84,55,84,87,75,3.76,29.4,5.6,,81.55,76.38,0.98,0.804,12131.49,63.6,6.8,3.4,4.7,3.5,,,,,,,,,,,,0,29.4,16.5,23.6
Maldives,MDV,AS,2018,70.13,83.74,14.79,73,,-0.55,-0.49,-0.89,-0.48,-0.66,0.1,31,5,5,,,,,8,6.2,8157.41,8.13,0,0,,,45,37,79,48,51,9.41,,,,51.72,64.59,,0.719,8157.41,72.4,8.3,5.6,3.3,6.2,,,,,,,,,,,,0.55,,,
Mali,MLI,AF,2018,24.52,35.62,15.88,36.11,11.67,-0.8,-1,-0.7,-0.56,-0.31,-2.08,32,5,4,3.4,2.1,2.3,3.8,7.3,9.5,778.73,4.75,10.21,0,,23.3,32,31,53,69,58,3.88,,43.8,,48.6,38.27,2.81,0.427,778.73,93.6,5.4,7.6,7.3,9.5,,,,,,,,,,,,0,,,
Malta,MLT,EU,2018,142.77,127.18,16.14,44.8,25.97,1.05,0.97,0.58,1.34,1.12,1.29,54,1,1,3.2,4.4,4.7,5.4,3,3,28644.06,5.18,0,0,0,50.3,68,50,64,87,69,8.96,,17.1,,77.28,86.15,0.46,0.885,28644.06,36.2,2,4,2.3,3,,,,,,,,,,,,1.6,,,
Mauritania,MRT,AF,2018,39.27,57.29,13.27,61.39,,-0.69,-0.73,-0.81,-0.81,-0.85,-0.62,27,6,5,2,2.1,2.3,2.3,7.8,7.7,1703.86,2.12,16.18,0,,,24,29,64,62,54,4.58,,,,50.57,41.4,3.03,0.527,1703.86,92.2,8.8,7.4,6.5,7.7,,,,,,,,,,,,0,,,
Mauritius,MUS,AF,2018,40.96,54.02,15.31,63.4,19.12,0.78,0.88,0.27,1.02,0.76,0.88,51,1,2,4.5,4.2,4.2,4.8,3.7,4.4,10577.18,3.76,0,0,0,31.3,69,52,78,89,75,5.83,27,,,72.27,82.65,0.16,0.796,10577.18,40.5,3.2,4.3,3.2,4.4,,,,,,,,,,,,0.01,27,25.4,22.5
Mexico,MEX,NA,2018,39.26,41.3,11.57,35.4,13.07,-0.64,-0.15,-0.85,0.16,0.01,-0.57,28,3,3,4.5,3.1,4.3,4.5,6.2,5.2,10385.83,2.2,3.47,2.36,0.14,35.3,59,27,68,88,65,5.37,,41.9,36.4,71.68,60,0.48,0.767,10385.83,71.5,5.4,4.7,5.8,5.2,,,,,,,,,,,,,,,
Micronesia,FSM,OC,2018,35.47,65.38,,18.76,25.2,-0.02,-0.15,0.69,-0.96,1.15,1.34,,1,1,,,,,3.6,9.8,2728.62,0.21,0.02,0,,,5,39,58,86,52,12.59,,,,45.57,70.49,,0.614,2728.62,74.4,5.6,8.5,8,9.8,,,,,,,,,,,,1.71,,,
Moldova,MDA,EU,2018,30.14,55.73,15.19,27,17.69,-0.41,-0.47,-0.73,-0.03,-0.09,-0.4,33,3,3,2.4,3.1,2.5,4.4,4.6,7.1,3527.37,4,0.27,0.01,0,37.6,54,27,66,78,58,6.6,,23,22,68.34,63.99,0.33,0.711,3527.37,69.5,8.3,6.1,4.5,7.1,,,,,,,,,,,,0,,24,27.7
Monaco,MCO,EU,2018,,,,,,,,,,0.66,1.61,,3,1,,,,,,,196061.42,,0,,,,,,,,,1.6,,,,49.94,,,,196061.42,,,,,,,,,,,,,,,,,0.01,,,
Mongolia,MNG,AS,2018,58.47,64.03,11.67,,16.78,-0.27,-0.23,-0.43,0.03,0.26,0.84,37,1,2,3.1,3.3,1.6,3.6,4.4,7,4210.86,7.25,40.07,2.43,0,35.9,51,35,67,76,56,3.79,,28.4,25.7,64.54,62.66,0.74,0.735,4210.86,54.9,5.5,4.9,6.1,7,,,,,,,,,,,,0.05,,,
Montenegro,MNE,EU,2018,42.88,66.73,18.5,65.1,,0.1,0.13,0.02,0.36,0.08,0.05,45,3,3,3.8,3,4.1,4.4,3.9,6.8,8253.14,5.08,1.62,0,0,36.5,54,38,73,85,64,8.42,59.1,,,70.85,77.88,1.43,0.816,8253.14,55.3,6.5,5.5,2.1,6.8,,,,,,,,,,,,0,59.1,17.4,47.3
Morocco,MAR,AF,2018,38.78,49.2,19.01,65.29,21.87,-0.14,-0.21,-0.22,-0.29,-0.66,-0.34,43,5,5,4.5,3.7,4.9,5,6.5,5.7,3361.22,3.15,1.59,0.01,0,31.1,54,41,70,79,62,5.31,,,,70.53,59.48,3.13,0.676,3361.22,74,6.6,5.1,5.9,5.7,,,,,,,,,,,,0,,,
Mozambique,MOZ,AF,2018,44.87,82.33,21.84,105.33,21.44,-1.04,-0.87,-0.78,-0.75,-0.47,-0.81,23,4,4,2.4,2.5,2.9,2.7,5.3,7.7,592.51,3.44,15.76,0.1,4.42,23.1,35,28,58,77,46,8.17,28.2,,,51.47,62.8,1.17,0.446,592.51,88.7,6.6,8.3,9.1,7.7,,,,,,,,,,,,0.03,28.2,12.7,23
Namibia,NAM,AF,2018,36.34,46.4,25.84,48.6,29.26,0.24,0.11,0.34,-0.08,0.49,0.7,53,2,2,5.1,2.9,4.6,4.9,3.5,6.1,5942.38,1.1,4.66,0,0,28,57,45,68,83,59,7.95,,,,58.78,53.89,3.22,0.645,5942.38,68.8,3.5,7.1,7.9,6.1,,,,,,,,,,,,0.2,,,
Nepal,NPL,AS,2018,8.91,46.18,11.63,30.2,21.66,-0.48,-0.9,-0.67,-0.74,-0.13,-0.6,31,3,4,2.6,1.3,1.8,3,7.4,6.8,817.78,7.62,0.46,0,0,24.2,38,25,65,67,54,5.84,,,,48.04,32.48,1.56,0.579,817.78,87.9,8.8,6.1,6.4,6.8,,,,,,,,,,,,0,,,
Netherlands,NLD,EU,2018,84.68,74.14,24.37,52.4,23.06,1.82,1.85,2.01,2.02,1.6,0.86,82,1,1,6.2,5.5,6.3,6.3,1,1.2,54894.13,2.36,0.41,0.03,0.38,63.3,88,86,81,87,76,9.97,,13.2,,90.68,89.58,1.22,0.934,54894.13,26.2,3.4,2.4,1.9,1.2,,,,,,,,,,,,0.97,,,
New Zealand,NZL,OC,2018,27.98,27.96,18.48,30.44,28,1.88,1.67,2.18,2.01,1.62,1.54,87,1,1,4.7,3.9,5.1,5.5,0.8,0.9,38522.25,3.42,1.32,0.2,0.34,51.3,95,96,92,87,84,9.21,,,,77.22,67.44,1.29,0.921,38522.25,20.9,1.4,3.3,2,0.9,,,,,,,,,,,,2.99,,,
Nicaragua,NIC,NA,2018,42.15,51.47,15.21,52.93,15.65,-1.06,-0.8,-1.09,-0.71,-1.08,-0.94,25,5,4,4.2,2,3.2,3.7,4.9,7.4,1857.05,-3.95,2.82,0,0,,30,24,60,81,59,8.56,35.6,,,59.95,62.13,0.62,0.651,1857.05,75.3,7.1,5.6,7.7,7.4,,,,,,,,,,,,0,35.6,21.9,24.8
Niger,NER,AF,2018,11.29,26.22,16.86,36.91,,-0.58,-0.77,-0.58,-0.64,-0.58,-1.35,34,4,4,,,,,6.8,7.8,552.32,7.2,6.06,1.38,0,20.6,37,30,46,62,50,7.33,27.5,40.8,,45.56,37.2,2.45,0.377,552.32,96.2,8.9,7.3,8.2,7.8,,,,,,,,,,,,3.14,27.5,12.2,22.3
Nigeria,NGA,AF,2018,15.5,17.51,5.6,19.09,,-0.88,-1.02,-1.05,-0.8,-0.41,-2.09,27,3,5,2.4,1.7,2.5,3.1,8.6,6.2,2383.42,1.92,11.48,9.03,1.42,22.4,38,14,49,66,59,3.89,,40.1,26.7,55.73,45.04,0.51,0.534,2383.42,99.9,9.6,8,8.3,6.2,,,,,,,,,,,,21.4,,,
North Korea,PRK,AS,2018,,,,,,-1.63,-1.57,-1.57,-2.36,-2.2,-0.34,14,7,7,,,,,9.4,9.9,,,,,,,30,25,5,,6,,33.5,,,,,,,,93.2,8.8,8.9,7.5,9.9,,,,,,,,,,,,0.31,33.5,24.3,28.9
