Country,Code,ContinentCode,Year,Exports of goods and services as percent of GDP,Imports of goods and services as percent of GDP,Government spending as percent of GDP,Government debt as percent of GDP,Tax revenue percent of GDP,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) ,Quality of roads 1(low) - 7(high),Quality of railroad infrastructure 1(low) - 7(high),Quality of port infrastructure 1(low) - 7(high),Quality of air transport infrastructure 1(low) - 7(high),Human rights and rule of law index 0 (high) - 10 (low),External interventions index 0 (low) - 10 (high),GDP per capita constant 2010 dollars,Economic growth forecast,Income from natural resources percent of GDP,Revenue minus production cost of oil percent of GDP,Revenue minus production cost of natural gas percent of GDP,Innovations index (0-100),Property rights index (0-100),Freedom from corruption index (0-100),Business freedom index (0-100),Trade freedom index (0-100),Economic freedom overall index (0-100),Health spending as percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners,Globalization index (0-100),Economic globalization index (0-100),Military spending percent of GDP,Human Development Index (0 - 1),GDP per capita constant 2010 dollars,Fragile state index 0 (low) - 120 (high),Factionalized elites index 0 (low) - 10 (high),Economic decline index 0 (low) - 10 (high),Uneven economic development index 0 (low) - 10 (high),External interventions index 0 (low) - 10 (high),,,,,,,,,,,,Revenue minus production cost of oil percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners
Bahrain,BHR,AS,2018,79.57,71.84,16.32,80.7,,0.41,0.18,-0.15,0.42,-1.41,-0.84,36,7,6,5.1,2.7,4.8,5.3,8.9,4.5,21478.12,1.72,4.34,2.31,2.02,31.7,62,52,76,83,68,4.13,,,,68.92,81.96,4.06,0.838,21478.12,64.4,7.6,3.8,4.3,4.5,,,,,,,,,,,,2.44,,,
Bangladesh,BGD,AS,2018,14.8,23.44,6.36,28,,-0.64,-0.75,-0.91,-0.83,-0.73,-0.99,26,4,4,3.1,3.2,3.5,3.7,7.6,6.1,1203.22,7.86,0.66,0.03,0.53,23.1,32,21,52,61,55,2.34,,,,50.12,29.81,1.28,0.614,1203.22,90.3,9.3,5.8,6.4,6.1,,,,,,,,,,,,0.03,,,
Barbados,BRB,NA,2018,41.29,39.71,11.82,126.3,,0.39,0.43,1.41,0.54,1.12,0.92,68,1,1,,,,,3.2,5.7,16136.91,-0.58,0.07,0.05,0,,51,54,71,62,57,6.56,,,,62.95,57.63,,0.813,16136.91,48.2,4.2,5.6,4.3,5.7,,,,,,,,,,,,0.1,,,
Belarus,BLR,EU,2018,70.46,68.94,15.74,47.52,14.67,-0.83,-0.3,-0.19,-0.65,-1.35,0.36,44,6,6,,,,,8,7.3,6586.3,3.14,1.61,0.56,0.03,29.4,54,42,74,81,58,5.64,25.6,5.6,21.4,67.59,61.79,1.2,0.817,6586.3,70.5,8.3,5.5,4.6,7.3,,,,,,,,,,,,0.42,25.6,5.1,21.2
Belgium,BEL,EU,2018,82.99,83.25,22.99,99.8,23.99,1.37,1.17,1.51,1.27,1.4,0.41,75,1,1,4.4,4.1,5.6,5.6,1.2,0.7,47035.61,1.81,0.02,0,0,50.5,81,71,81,87,68,10.32,27.7,,,90.46,87.89,0.91,0.919,47035.61,29.7,4.4,4.5,2.4,0.7,,,,,,,,,,,,0,27.7,15.5,22.2
Belize,BLZ,NA,2018,57.7,58.01,17.49,68.6,,-0.82,-0.59,-0.14,-0.65,0.45,0.01,,1,2,,,,,5,7.2,4217.21,2.9,1.06,0.75,,,42,35,63,65,57,5.69,,,,56.16,57.35,1.2,0.72,4217.21,63.7,4.3,6.6,5.1,7.2,,,,,,,,,,,,0.66,,,
Benin,BEN,AF,2018,27.3,34.55,10.41,41.08,,-0.68,-0.57,-0.39,-0.34,0.27,-0.13,40,2,2,2.9,1.5,3,3.5,4.9,6.3,1211.32,6.7,2.37,0.13,0,20.6,36,30,61,56,57,2.49,47.8,,,50.96,37.73,0.87,0.52,1211.32,75.7,6.7,6.5,7.9,6.3,,,,,,,,,,,,0.06,47.8,40.1,37.6
Bermuda,BMU,NA,2018,51.27,25.85,11.69,,,0.88,1.39,1.24,0.82,,1.16,,,,,,,,,,93832.37,,0,,,,,,,,,,,,,44.45,64.66,,,93832.37,,,,,,,,,,,,,,,,,0,,,
Bhutan,BTN,AS,2018,30.82,55.89,17.12,110.46,16.02,0.55,0.36,1.65,-0.34,0.06,1.1,68,3,4,,,,,6.3,8,3128.84,3.84,1.95,0,,,61,51,73,74,62,3.06,46.7,,,41.66,41.85,,0.617,3128.84,74.3,7.5,5,5.6,8,,,,,,,,,,,,1.18,46.7,38.6,34.8
Bolivia,BOL,SA,2018,25.99,31.12,17.53,53.85,,-1.15,-0.32,-0.62,-0.91,-0.04,-0.28,29,3,3,3.4,2.3,1.9,3.3,6,5.5,2559.51,4.22,7.79,1.53,1.82,22.9,19,23,59,76,44,6.3,,34.6,30.4,58.67,44.52,1.54,0.703,2559.51,75.2,8,5.4,8.3,5.5,,,,,,,,,,,,0,,16.9,
